"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"KEGG_PATHWAY","Herpes simplex virus 1 infection","3.60%","29","426","182","8534","7.92e-8","8.42e-6","3.19","2.53e-5","7.39e-6","2.18e-8"
"GOTERM_BP_DIRECT","mitotic spindle assembly checkpoint signaling","1.37%","11","760","30","19478","1.13e-7","1.29e-4","9.40","3.86e-4","1.28e-4","8.23e-9"
"GOTERM_CC_DIRECT","cytoplasm","36.65%","295","791","6004","20795","1.49e-7","1.20e-5","1.29","9.59e-5","1.09e-5","1.16e-7"
"GOTERM_BP_DIRECT","mitotic cytokinesis","1.86%","15","760","65","19478","1.59e-7","1.36e-4","5.91","5.45e-4","1.35e-4","2.17e-8"
"GOTERM_CC_DIRECT","nucleus","37.76%","304","791","6244","20795","2.10e-7","1.50e-5","1.28","1.35e-4","1.37e-5","1.63e-7"
"UP_SEQ_FEATURE","DOMAIN:Immunoglobulin C1-set","1.12%","9","789","19","20675","2.24e-7","2.93e-4","12.41","8.80e-4","2.93e-4","1.07e-8"
"GOTERM_CC_DIRECT","MHC class II protein complex","1.24%","10","791","26","20795","2.75e-7","1.77e-5","10.11","1.77e-4","1.61e-5","1.83e-8"
"KEGG_PATHWAY","Antigen processing and presentation","2.24%","18","426","81","8534","3.49e-7","2.79e-5","4.45","1.11e-4","2.44e-5","6.43e-8"
"UP_KW_PTM","Ubl conjugation","22.48%","181","663","2773","14316","3.51e-7","5.27e-6","1.41","1.02e-5","4.22e-6","2.42e-7"
"GOTERM_BP_DIRECT","regulation of DNA-templated DNA replication initiation","0.99%","8","760","14","19478","3.59e-7","2.46e-4","14.65","1.23e-3","2.44e-4","1.26e-8"
"UP_KW_BIOLOGICAL_PROCESS","DNA replication","2.24%","18","496","95","11523","5.04e-7","1.63e-5","4.40","6.50e-5","1.52e-5","9.68e-8"
"UP_KW_CELLULAR_COMPONENT","Chromosome","6.83%","55","748","639","18049","5.28e-7","9.15e-6","2.08","2.75e-5","6.51e-6","2.47e-7"
"UP_SEQ_FEATURE","TOPO_DOM:Lumenal","6.71%","54","789","680","20675","7.00e-7","6.89e-4","2.08","2.75e-3","6.87e-4","3.23e-7"
"INTERPRO","Collagen","1.99%","16","802","85","20808","7.73e-7","1.71e-3","4.88","1.71e-3","1.70e-3","1.34e-7"
"GOTERM_CC_DIRECT","CMG complex","0.87%","7","791","11","20795","1.16e-6","6.79e-5","16.73","7.46e-4","6.17e-5","3.24e-8"
"GOTERM_BP_DIRECT","mitotic cell cycle","2.48%","20","760","135","19478","1.25e-6","6.40e-4","3.80","4.26e-3","6.34e-4","2.89e-7"
"GOTERM_BP_DIRECT","collagen fibril organization","1.74%","14","760","66","19478","1.31e-6","6.40e-4","5.44","4.47e-3","6.34e-4","1.98e-7"
"UP_KW_CELLULAR_COMPONENT","Kinetochore","2.24%","18","748","105","18049","1.38e-6","1.80e-5","4.14","7.19e-5","1.28e-5","2.88e-7"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent","2.36%","19","776","121","19253","1.65e-6","9.19e-4","3.90","1.84e-3","9.11e-4","3.69e-7"
"GOTERM_BP_DIRECT","extracellular matrix organization","2.73%","22","760","164","19478","1.69e-6","7.01e-4","3.44","5.77e-3","6.95e-4","4.38e-7"
"GOTERM_BP_DIRECT","antigen processing and presentation of exogenous peptide antigen via MHC class II","1.24%","10","760","31","19478","1.84e-6","7.01e-4","8.27","6.29e-3","6.95e-4","1.62e-7"
"INTERPRO","MHC_II_a/b_N","1.12%","9","802","24","20808","1.98e-6","2.19e-3","9.73","4.36e-3","2.17e-3","1.39e-7"
"GOTERM_CC_DIRECT","kinetochore","2.61%","21","791","158","20795","2.44e-6","1.31e-4","3.49","1.57e-3","1.19e-4","6.24e-7"
"KEGG_PATHWAY","Epstein-Barr virus infection","3.48%","28","426","204","8534","2.87e-6","1.83e-4","2.75","9.14e-4","1.60e-4","9.35e-7"
"GOTERM_CC_DIRECT","extracellular space","13.66%","110","791","1867","20795","3.77e-6","1.87e-4","1.55","2.43e-3","1.70e-4","2.32e-6"
"UP_SEQ_FEATURE","PROPEP:C-terminal propeptide","0.75%","6","789","8","20675","4.04e-6","3.18e-3","19.65","1.58e-2","3.17e-3","7.95e-8"
"GOTERM_CC_DIRECT","vesicle","2.61%","21","791","164","20795","4.36e-6","2.01e-4","3.37","2.81e-3","1.83e-4","1.16e-6"
"GOTERM_CC_DIRECT","outer kinetochore","0.99%","8","791","20","20795","5.59e-6","2.33e-4","10.52","3.60e-3","2.11e-4","3.55e-7"
"GOTERM_BP_DIRECT","mitotic sister chromatid segregation","1.24%","10","760","35","19478","5.60e-6","1.92e-3","7.32","1.90e-2","1.90e-3","5.83e-7"
"KEGG_PATHWAY","Human T-cell leukemia virus 1 infection","3.60%","29","426","224","8534","5.74e-6","3.05e-4","2.59","1.83e-3","2.68e-4","2.03e-6"
"GOTERM_CC_DIRECT","ficolin-1-rich granule lumen","2.24%","18","791","126","20795","5.77e-6","2.33e-4","3.76","3.71e-3","2.11e-4","1.36e-6"
"GOTERM_BP_DIRECT","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","0.99%","8","760","20","19478","6.60e-6","2.01e-3","10.25","2.24e-2","1.99e-3","4.30e-7"
"GOTERM_BP_DIRECT","antigen processing and presentation","1.37%","11","760","45","19478","7.04e-6","2.01e-3","6.26","2.38e-2","1.99e-3","8.95e-7"
"GOTERM_MF_DIRECT","single-stranded DNA helicase activity","0.99%","8","776","20","19253","8.16e-6","3.04e-3","9.92","9.07e-3","3.01e-3","5.50e-7"
"GOTERM_BP_DIRECT","chromosome segregation","1.99%","16","760","101","19478","8.31e-6","2.19e-3","4.06","2.81e-2","2.17e-3","1.78e-6"
"GOTERM_CC_DIRECT","spindle","2.48%","20","791","157","20795","8.41e-6","3.07e-4","3.35","5.41e-3","2.79e-4","2.25e-6"
"GOTERM_CC_DIRECT","chromosome, centromeric region","1.61%","13","791","68","20795","8.56e-6","3.07e-4","5.03","5.51e-3","2.79e-4","1.43e-6"
"UP_KW_CELLULAR_COMPONENT","MHC II","0.99%","8","748","20","18049","9.77e-6","1.02e-4","9.65","5.08e-4","7.23e-5","6.78e-7"
"GOTERM_BP_DIRECT","DNA replication","2.11%","17","760","117","19478","1.23e-5","3.02e-3","3.72","4.15e-2","3.00e-3","2.92e-6"
"INTERPRO","MHC/Immunoglobulin","1.12%","9","802","30","20808","1.28e-5","9.44e-3","7.78","2.79e-2","9.38e-3","1.24e-6"
"GOTERM_CC_DIRECT","endoplasmic reticulum lumen","3.73%","30","791","318","20795","1.31e-5","4.46e-4","2.48","8.44e-3","4.05e-4","4.98e-6"
"GOTERM_BP_DIRECT","protein modification by small protein conjugation","0.99%","8","760","22","19478","1.36e-5","3.10e-3","9.32","4.54e-2","3.07e-3","1.02e-6"
"GOTERM_MF_DIRECT","peptide antigen binding","1.37%","11","776","48","19253","1.72e-5","4.80e-3","5.69","1.90e-2","4.76e-3","2.45e-6"
"GOTERM_CC_DIRECT","midbody","2.73%","22","791","195","20795","1.78e-5","5.75e-4","2.97","1.14e-2","5.22e-4","5.46e-6"
"GOTERM_BP_DIRECT","collagen catabolic process","1.24%","10","760","41","19478","2.25e-5","4.83e-3","6.25","7.44e-2","4.79e-3","2.88e-6"
"UP_KW_PTM","Phosphoprotein","54.78%","441","663","8435","14316","2.66e-5","2.66e-4","1.13","7.72e-4","2.13e-4","2.33e-5"
"GOTERM_CC_DIRECT","lysosomal membrane","4.22%","34","791","401","20795","2.86e-5","8.48e-4","2.23","1.83e-2","7.70e-4","1.22e-5"
"GOTERM_CC_DIRECT","MCM complex","0.75%","6","791","11","20795","2.98e-5","8.48e-4","14.34","1.91e-2","7.70e-4","1.17e-6"
"GOTERM_CC_DIRECT","mitotic spindle","2.36%","19","791","157","20795","3.02e-5","8.48e-4","3.18","1.93e-2","7.70e-4","8.57e-6"
"UP_SEQ_FEATURE","DOMAIN:Fibrillar collagen NC1","0.75%","6","789","11","20675","3.03e-5","1.99e-2","14.29","1.12e-1","1.98e-2","1.19e-6"
"INTERPRO","MCM_CS","0.62%","5","802","6","20808","3.07e-5","1.17e-2","21.62","6.56e-2","1.16e-2","4.88e-7"
"INTERPRO","MCM_N","0.62%","5","802","6","20808","3.07e-5","1.17e-2","21.62","6.56e-2","1.16e-2","4.88e-7"
"INTERPRO","Fib_collagen_C","0.75%","6","802","11","20808","3.18e-5","1.17e-2","14.15","6.78e-2","1.16e-2","1.26e-6"
"GOTERM_BP_DIRECT","mitotic spindle midzone assembly","0.75%","6","760","11","19478","3.37e-5","6.79e-3","13.98","1.09e-1","6.73e-3","1.35e-6"
"UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","11.30%","91","748","1426","18049","3.46e-5","3.00e-4","1.54","1.80e-3","2.14e-4","2.19e-5"
"SMART","COLFI","0.75%","6","424","11","10706","3.57e-5","1.05e-2","13.77","1.05e-2","1.05e-2","1.45e-6"
"GOTERM_CC_DIRECT","Golgi membrane","6.34%","51","791","727","20795","3.97e-5","1.07e-3","1.84","2.53e-2","9.69e-4","2.11e-5"
"GOTERM_CC_DIRECT","mitochondrion","12.17%","98","791","1721","20795","5.34e-5","1.38e-3","1.50","3.39e-2","1.25e-3","3.53e-5"
"GOTERM_BP_DIRECT","double-strand break repair via break-induced replication","0.75%","6","760","12","19478","5.59e-5","1.06e-2","12.81","1.74e-1","1.05e-2","2.61e-6"
"GOTERM_CC_DIRECT","ER to Golgi transport vesicle membrane","1.37%","11","791","58","20795","5.91e-5","1.47e-3","4.99","3.74e-2","1.33e-3","9.99e-6"
"GOTERM_MF_DIRECT","extracellular matrix structural constituent conferring tensile strength","1.24%","10","776","45","19253","6.38e-5","1.36e-2","5.51","6.87e-2","1.35e-2","9.46e-6"
"GOTERM_CC_DIRECT","endoplasmic reticulum","9.19%","74","791","1213","20795","6.59e-5","1.57e-3","1.60","4.16e-2","1.43e-3","3.97e-5"
"KEGG_PATHWAY","Nucleotide metabolism","1.86%","15","426","85","8534","6.88e-5","2.88e-3","3.54","2.17e-2","2.53e-3","1.67e-5"
"GOTERM_BP_DIRECT","mitotic spindle assembly","1.24%","10","760","47","19478","7.12e-5","1.28e-2","5.45","2.17e-1","1.27e-2","1.08e-5"
"KEGG_PATHWAY","Biosynthesis of amino acids","1.74%","14","426","75","8534","7.23e-5","2.88e-3","3.74","2.28e-2","2.53e-3","1.65e-5"
"UP_KW_BIOLOGICAL_PROCESS","Collagen degradation","0.87%","7","496","18","11523","7.28e-5","1.88e-3","9.03","9.34e-3","1.76e-3","5.52e-6"
"GOTERM_MF_DIRECT","MHC class II protein complex binding","0.99%","8","776","27","19253","7.31e-5","1.36e-2","7.35","7.84e-2","1.35e-2","7.54e-6"
"GOTERM_CC_DIRECT","chromosome","3.23%","26","791","281","20795","7.60e-5","1.70e-3","2.43","4.79e-2","1.54e-3","2.93e-5"
"GOTERM_BP_DIRECT","G1/S transition of mitotic cell cycle","1.61%","13","760","82","19478","7.61e-5","1.30e-2","4.06","2.30e-1","1.29e-2","1.63e-5"
"GOTERM_CC_DIRECT","endoplasmic reticulum-Golgi intermediate compartment membrane","1.61%","13","791","84","20795","7.62e-5","1.70e-3","4.07","4.80e-2","1.54e-3","1.63e-5"
"UP_SEQ_FEATURE","MOTIF:KEN box","0.75%","6","789","13","20675","7.92e-5","4.45e-2","12.09","2.68e-1","4.44e-2","4.13e-6"
"INTERPRO","Collagen_superfamily","1.12%","9","802","38","20808","8.16e-5","2.57e-2","6.14","1.65e-1","2.56e-2","1.07e-5"
"GOTERM_MF_DIRECT","identical protein binding","12.92%","104","776","1777","19253","9.43e-5","1.43e-2","1.45","1.00e-1","1.42e-2","6.41e-5"
"GOTERM_CC_DIRECT","phagocytic vesicle membrane","1.61%","13","791","86","20795","9.62e-5","2.07e-3","3.97","6.02e-2","1.88e-3","2.12e-5"
"KEGG_PATHWAY","Tuberculosis","2.86%","23","426","182","8534","9.72e-5","3.44e-3","2.53","3.05e-2","3.02e-3","3.47e-5"
"GOTERM_MF_DIRECT","MHC class II receptor activity","0.75%","6","776","13","19253","1.03e-4","1.43e-2","11.45","1.08e-1","1.42e-2","5.66e-6"
"BIOCARTA","CDK Regulation of DNA Replication","0.99%","8","114","18","1622","1.11e-4","1.85e-2","6.32","1.84e-2","1.83e-2","1.13e-5"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C1-type","1.12%","9","789","40","20675","1.12e-4","5.50e-2","5.90","3.56e-1","5.49e-2","1.55e-5"
"KEGG_PATHWAY","Pyrimidine metabolism","1.49%","12","426","58","8534","1.12e-4","3.57e-3","4.14","3.51e-2","3.13e-3","2.25e-5"
"UP_KW_BIOLOGICAL_PROCESS","Glycolysis","1.12%","9","496","36","11523","1.14e-4","2.46e-3","5.81","1.46e-2","2.31e-3","1.57e-5"
"GOTERM_BP_DIRECT","response to virus","1.86%","15","760","112","19478","1.16e-4","1.84e-2","3.43","3.27e-1","1.82e-2","2.99e-5"
"GOTERM_BP_DIRECT","glycolytic process","1.24%","10","760","50","19478","1.18e-4","1.84e-2","5.13","3.32e-1","1.82e-2","1.92e-5"
"GOTERM_CC_DIRECT","spindle pole","2.11%","17","791","144","20795","1.20e-4","2.49e-3","3.10","7.43e-2","2.26e-3","3.48e-5"
"INTERPRO","MCM_dom","0.62%","5","802","8","20808","1.35e-4","3.31e-2","16.22","2.58e-1","3.29e-2","4.27e-6"
"INTERPRO","MCM_OB","0.62%","5","802","8","20808","1.35e-4","3.31e-2","16.22","2.58e-1","3.29e-2","4.27e-6"
"GOTERM_BP_DIRECT","interleukin-27-mediated signaling pathway","0.62%","5","760","8","19478","1.41e-4","2.11e-2","16.02","3.84e-1","2.09e-2","4.53e-6"
"KEGG_PATHWAY","Viral myocarditis","1.61%","13","426","70","8534","1.52e-4","4.05e-3","3.72","4.75e-2","3.55e-3","3.49e-5"
"GOTERM_BP_DIRECT","G2/M transition of mitotic cell cycle","1.24%","10","760","52","19478","1.61e-4","2.31e-2","4.93","4.25e-1","2.29e-2","2.76e-5"
"GOTERM_CC_DIRECT","endoplasmic reticulum membrane","8.82%","71","791","1186","20795","1.65e-4","3.32e-3","1.57","1.01e-1","3.02e-3","1.03e-4"
"KEGG_PATHWAY","Vibrio cholerae infection","1.37%","11","426","51","8534","1.71e-4","4.05e-3","4.32","5.32e-2","3.55e-3","3.28e-5"
"KEGG_PATHWAY","Oocyte meiosis","2.36%","19","426","139","8534","1.74e-4","4.05e-3","2.74","5.40e-2","3.55e-3","5.68e-5"
"UP_SEQ_FEATURE","DISULFID:Interchain","2.36%","19","789","179","20675","1.74e-4","7.40e-2","2.78","4.96e-1","7.38e-2","5.71e-5"
"KEGG_PATHWAY","Various types of N-glycan biosynthesis","1.24%","10","426","42","8534","1.78e-4","4.05e-3","4.77","5.51e-2","3.55e-3","3.01e-5"
"UP_KW_PTM","Isopeptide bond","15.03%","121","663","1900","14316","1.78e-4","1.34e-3","1.38","5.15e-3","1.07e-3","1.26e-4"
"GOTERM_BP_DIRECT","apoptotic process","5.71%","46","760","656","19478","1.80e-4","2.46e-2","1.80","4.60e-1","2.44e-2","9.36e-5"
"INTERPRO","Pept_M10A_Zn_BS","0.75%","6","802","15","20808","1.82e-4","4.01e-2","10.38","3.31e-1","3.99e-2","1.19e-5"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","36.02%","290","748","5883","18049","2.02e-4","1.50e-3","1.19","1.04e-2","1.07e-3","1.67e-4"
"GOTERM_CC_DIRECT","mitotic checkpoint complex","0.50%","4","791","4","20795","2.12e-4","4.15e-3","26.29","1.28e-1","3.77e-3","2.08e-6"
"UP_SEQ_FEATURE","DOMAIN:MCM","0.62%","5","789","9","20675","2.26e-4","7.40e-2","14.56","5.90e-1","7.38e-2","8.86e-6"
"UP_SEQ_FEATURE","REGION:Disordered","71.18%","573","789","13820","20675","2.29e-4","7.40e-2","1.09","5.95e-1","7.38e-2","2.09e-4"
"INTERPRO","MCM","0.62%","5","802","9","20808","2.35e-4","4.33e-2","14.41","4.05e-1","4.30e-2","9.30e-6"
"INTERPRO","MCM_lid","0.62%","5","802","9","20808","2.35e-4","4.33e-2","14.41","4.05e-1","4.30e-2","9.30e-6"
"UP_SEQ_FEATURE","REGION:Alpha-1","0.75%","6","789","16","20675","2.44e-4","7.40e-2","9.83","6.18e-1","7.38e-2","1.75e-5"
"UP_SEQ_FEATURE","REGION:Alpha-2","0.75%","6","789","16","20675","2.44e-4","7.40e-2","9.83","6.18e-1","7.38e-2","1.75e-5"
"SMART","MCM","0.62%","5","424","9","10706","2.58e-4","3.81e-2","14.03","7.34e-2","3.81e-2","1.05e-5"
"GOTERM_MF_DIRECT","ubiquitin protein ligase binding","3.35%","27","776","304","19253","2.61e-4","3.24e-2","2.20","2.53e-1","3.21e-2","1.10e-4"
"GOTERM_BP_DIRECT","peptide antigen assembly with MHC class II protein complex","0.75%","6","760","16","19478","2.71e-4","3.57e-2","9.61","6.05e-1","3.54e-2","1.98e-5"
"BIOCARTA","Glycolysis Pathway","0.75%","6","114","10","1622","2.86e-4","2.39e-2","8.54","4.66e-2","2.36e-2","1.77e-5"
"GOTERM_CC_DIRECT","Golgi cisterna membrane","1.61%","13","791","97","20795","3.07e-4","5.82e-3","3.52","1.80e-1","5.29e-3","7.73e-5"
"GOTERM_BP_DIRECT","embryo implantation","1.12%","9","760","45","19478","3.07e-4","3.90e-2","5.13","6.51e-1","3.87e-2","5.01e-5"
"KEGG_PATHWAY","DNA replication","1.12%","9","426","36","8534","3.12e-4","6.64e-3","5.01","9.49e-2","5.83e-3","4.99e-5"
"GOTERM_MF_DIRECT","DNA replication origin binding","0.75%","6","776","16","19253","3.15e-4","3.51e-2","9.30","2.96e-1","3.48e-2","2.38e-5"
"GOTERM_BP_DIRECT","mitotic spindle organization","1.24%","10","760","57","19478","3.32e-4","4.06e-2","4.50","6.80e-1","4.03e-2","6.31e-5"
"GOTERM_CC_DIRECT","clathrin-coated endocytic vesicle membrane","1.37%","11","791","71","20795","3.35e-4","6.18e-3","4.07","1.95e-1","5.62e-3","7.17e-5"
"KEGG_PATHWAY","Human immunodeficiency virus 1 infection","2.98%","24","426","213","8534","3.70e-4","7.37e-3","2.26","1.11e-1","6.47e-3","1.50e-4"
"INTERPRO","MHC_I/II-like_Ag-recog","1.12%","9","802","47","20808","3.86e-4","6.57e-2","4.97","5.74e-1","6.52e-2","6.55e-5"
"GOTERM_BP_DIRECT","extracellular matrix disassembly","1.12%","9","760","47","19478","4.19e-4","4.95e-2","4.91","7.62e-1","4.90e-2","7.19e-5"
"KEGG_PATHWAY","Parkinson disease","3.48%","28","426","271","8534","4.29e-4","8.05e-3","2.07","1.28e-1","7.07e-3","1.95e-4"
"INTERPRO","MHC_II_b_N","0.75%","6","802","18","20808","4.71e-4","7.43e-2","8.65","6.47e-1","7.38e-2","4.01e-5"
"KEGG_PATHWAY","Leishmaniasis","1.61%","13","426","79","8534","4.89e-4","8.46e-3","3.30","1.44e-1","7.43e-3","1.29e-4"
"BIOCARTA","Antigen Processing and Presentation","0.75%","6","114","11","1622","4.95e-4","2.76e-2","7.76","7.94e-2","2.72e-2","3.66e-5"
"UP_SEQ_FEATURE","REGION:Connecting peptide","0.99%","8","789","38","20675","5.11e-4","1.37e-1","5.52","8.66e-1","1.36e-1","7.67e-5"
"UP_SEQ_FEATURE","MOTIF:Arginine finger","0.50%","4","789","5","20675","5.21e-4","1.37e-1","20.96","8.71e-1","1.36e-1","1.02e-5"
"SMART","MHC_II_beta","0.75%","6","424","18","10706","5.26e-4","5.17e-2","8.42","1.44e-1","5.17e-2","4.61e-5"
"GOTERM_MF_DIRECT","enzyme activator activity","1.37%","11","776","71","19253","5.27e-4","5.35e-2","3.84","4.45e-1","5.31e-2","1.20e-4"
"KEGG_PATHWAY","Diabetic cardiomyopathy","2.86%","23","426","205","8534","5.37e-4","8.46e-3","2.25","1.58e-1","7.43e-3","2.18e-4"
"KEGG_PATHWAY","Human papillomavirus infection","3.98%","32","426","333","8534","5.38e-4","8.46e-3","1.93","1.58e-1","7.43e-3","2.65e-4"
"KEGG_PATHWAY","Allograft rejection","1.12%","9","426","39","8534","5.57e-4","8.46e-3","4.62","1.63e-1","7.43e-3","9.82e-5"
"KEGG_PATHWAY","Carbon metabolism","1.99%","16","426","116","8534","6.05e-4","8.77e-3","2.76","1.76e-1","7.70e-3","1.95e-4"
"GOTERM_BP_DIRECT","type I interferon-mediated signaling pathway","1.12%","9","760","50","19478","6.45e-4","7.23e-2","4.61","8.90e-1","7.16e-2","1.19e-4"
"GOTERM_BP_DIRECT","mitotic chromosome condensation","0.75%","6","760","19","19478","6.54e-4","7.23e-2","8.09","8.94e-1","7.16e-2","6.07e-5"
"UP_SEQ_FEATURE","PROPEP:Activation peptide","1.37%","11","789","77","20675","6.66e-4","1.64e-1","3.74","9.27e-1","1.63e-1","1.57e-4"
"GOTERM_MF_DIRECT","platelet-derived growth factor binding","0.62%","5","776","11","19253","6.85e-4","6.38e-2","11.28","5.35e-1","6.32e-2","3.96e-5"
"GOTERM_BP_DIRECT","protein N-linked glycosylation","1.24%","10","760","63","19478","7.09e-4","7.60e-2","4.07","9.12e-1","7.53e-2","1.51e-4"
"UP_KW_BIOLOGICAL_PROCESS","Host-virus interaction","6.09%","49","496","695","11523","7.18e-4","1.32e-2","1.64","8.84e-2","1.24e-2","4.21e-4"
"KEGG_PATHWAY","Cellular senescence","2.36%","19","426","157","8534","7.83e-4","1.09e-2","2.42","2.21e-1","9.53e-3","2.92e-4"
"INTERPRO","Cyclins_cyclin-box","0.62%","5","802","12","20808","8.42e-4","1.24e-1","10.81","8.45e-1","1.23e-1","5.31e-5"
"GOTERM_BP_DIRECT","positive regulation of mitotic metaphase/anaphase transition","0.62%","5","760","12","19478","8.81e-4","9.02e-2","10.68","9.51e-1","8.94e-2","5.62e-5"
"GOTERM_BP_DIRECT","antiviral innate immune response","1.24%","10","760","65","19478","8.94e-4","9.02e-2","3.94","9.53e-1","8.94e-2","1.98e-4"
"GOTERM_MF_DIRECT","microtubule binding","2.98%","24","776","278","19253","9.10e-4","7.82e-2","2.14","6.38e-1","7.75e-2","3.96e-4"
"GOTERM_BP_DIRECT","innate immune response","4.84%","39","760","570","19478","9.37e-4","9.18e-2","1.75","9.60e-1","9.09e-2","4.95e-4"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate","3.35%","27","789","350","20675","9.80e-4","2.10e-1","2.02","9.79e-1","2.09e-1","4.51e-4"
"UP_SEQ_FEATURE","MOTIF:Nuclear localization signal","4.10%","33","789","465","20675","9.94e-4","2.10e-1","1.86","9.80e-1","2.09e-1","5.03e-4"
"GOTERM_CC_DIRECT","chromosome passenger complex","0.50%","4","791","6","20795","1.00e-3","1.76e-2","17.53","4.76e-1","1.60e-2","2.93e-5"
"GOTERM_CC_DIRECT","chromosome, telomeric region","2.11%","17","791","174","20795","1.01e-3","1.76e-2","2.57","4.78e-1","1.60e-2","3.59e-4"
"UP_SEQ_FEATURE","PROPEP:N-terminal propeptide","0.50%","4","789","6","20675","1.01e-3","2.10e-1","17.47","9.81e-1","2.09e-1","2.97e-5"
"GOTERM_CC_DIRECT","mitochondrial inner membrane","4.35%","35","791","509","20795","1.08e-3","1.79e-2","1.81","5.02e-1","1.63e-2","5.84e-4"
"GOTERM_CC_DIRECT","protein-containing complex","5.47%","44","791","691","20795","1.08e-3","1.79e-2","1.67","5.02e-1","1.63e-2","6.22e-4"
"GOTERM_BP_DIRECT","liver regeneration","0.87%","7","760","31","19478","1.10e-3","1.04e-1","5.79","9.77e-1","1.04e-1","1.55e-4"
"INTERPRO","MHC_I_a_a1/a2","0.62%","5","802","13","20808","1.18e-3","1.60e-1","9.98","9.26e-1","1.59e-1","8.35e-5"
"INTERPRO","Kinesin-like_fam","0.87%","7","802","32","20808","1.23e-3","1.60e-1","5.68","9.34e-1","1.59e-1","1.78e-4"
"GOTERM_CC_DIRECT","lysosomal lumen","1.49%","12","791","98","20795","1.23e-3","1.98e-2","3.22","5.48e-1","1.80e-2","3.42e-4"
